758,7,tare,Square Wt (kg) (S2),546,372,16,Arial,bold
698,5,tare,Square Wt (kg),220,220,16,Arial,bold
768,7,tare,Square Wt (kg) (S2) (Copy),341,372,16,Arial,bold
10,1,charges,Weighment Fee,40,310,12,Courier New,normal
20,2,charges,Weighment Fee,40,310,12,Courier New,normal
740,6,charges,Weighment Fee,40,310,12,Courier New,normal
40,4,charges,Weighment Fee,40,310,12,Courier New,normal
750,7,charges,Weighment Fee,137,315,12,Courier New,normal
760,7,charges,Weighment Fee (S2),341,315,12,Courier New,normal
767,7,charges,Weighment Fee (S2) (Copy),546,317,12,Courier New,normal
700,5,charges,Weighment Fee,40,310,12,Courier New,normal
9,1,net,Net Wt (kg),130,260,16,Arial,bold
19,2,net,Net Wt (kg),130,260,16,Arial,bold
739,6,net,Net Wt (kg),130,260,16,Arial,bold
39,4,net,Net Wt (kg),130,260,16,Arial,bold
749,7,net,Net Wt (kg),137,398,16,Arial,bold
759,7,net,Net Wt (kg) (S2),341,398,16,Arial,bold
699,5,net,Net Wt (kg),130,260,16,Arial,bold
769,7,net,Net Wt (kg) (S2) (Copy),547,398,16,Arial,bold
